Hour,Count,Month
0,106,2017-01
1,47,2017-01
2,34,2017-01
3,18,2017-01
4,51,2017-01
5,169,2017-01
6,449,2017-01
7,1036,2017-01
8,1711,2017-01
9,846,2017-01
10,506,2017-01
11,483,2017-01
12,504,2017-01
13,552,2017-01
14,561,2017-01
15,525,2017-01
16,661,2017-01
17,1209,2017-01
18,1241,2017-01
19,892,2017-01
20,537,2017-01
21,379,2017-01
22,268,2017-01
23,141,2017-01
0,134,2017-02
1,65,2017-02
2,29,2017-02
3,15,2017-02
4,53,2017-02
5,134,2017-02
6,403,2017-02
7,943,2017-02
8,1699,2017-02
9,841,2017-02
10,534,2017-02
11,540,2017-02
12,672,2017-02
13,664,2017-02
14,608,2017-02
15,663,2017-02
16,803,2017-02
17,1334,2017-02
18,1354,2017-02
19,979,2017-02
20,599,2017-02
21,448,2017-02
22,326,2017-02
23,186,2017-02
0,85,2017-03
1,46,2017-03
2,13,2017-03
3,17,2017-03
4,46,2017-03
5,141,2017-03
6,423,2017-03
7,874,2017-03
8,1579,2017-03
9,755,2017-03
10,409,2017-03
11,334,2017-03
12,461,2017-03
13,421,2017-03
14,411,2017-03
15,522,2017-03
16,645,2017-03
17,1306,2017-03
18,1424,2017-03
19,905,2017-03
20,579,2017-03
21,365,2017-03
22,281,2017-03
23,159,2017-03
0,149,2017-04
1,81,2017-04
2,48,2017-04
3,25,2017-04
4,77,2017-04
5,213,2017-04
6,605,2017-04
7,1132,2017-04
8,2211,2017-04
9,1203,2017-04
10,864,2017-04
11,939,2017-04
12,977,2017-04
13,1062,2017-04
14,1083,2017-04
15,1117,2017-04
16,1334,2017-04
17,2174,2017-04
18,2136,2017-04
19,1492,2017-04
20,941,2017-04
21,640,2017-04
22,445,2017-04
23,238,2017-04
0,196,2017-05
1,109,2017-05
2,58,2017-05
3,34,2017-05
4,72,2017-05
5,277,2017-05
6,866,2017-05
7,1616,2017-05
8,3040,2017-05
9,1587,2017-05
10,1010,2017-05
11,1008,2017-05
12,1133,2017-05
13,1164,2017-05
14,1066,2017-05
15,1117,2017-05
16,1407,2017-05
